Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S133556252,Western Bluebird,Sialia mexicana,27545,1,US-CO,Fremont,L111034,Fremont,38.47143,-105.47575,2023-04-12,4:34 PM,eBird - Traveling Count,70,1,86.29,,3,,,,
S133556252,Mountain Bluebird,Sialia currucoides,27553,1,US-CO,Fremont,L111034,Fremont,38.47143,-105.47575,2023-04-12,4:34 PM,eBird - Traveling Count,70,1,86.29,,3,,,,
S133521583,Mountain Bluebird,Sialia currucoides,27553,5,US-CO,Gunnison,L23550026,"15 Paradise Road, Crested Butte, Colorado, US (38.906, -106.972)",38.9092238,-106.9710894,2023-04-12,10:08 AM,eBird - Traveling Count,61,1,0.2,,3,,,,557102631
S133529908,Mountain Bluebird,Sialia currucoides,27553,5,US-CO,Gunnison,L23550026,"15 Paradise Road, Crested Butte, Colorado, US (38.906, -106.972)",38.9092238,-106.9710894,2023-04-12,12:01 PM,eBird - Traveling Count,60,1,0.72,,3,,,,
S133511652,Mountain Bluebird,Sialia currucoides,27553,3,US-CO,Gunnison,L23548180,"172 Blackstock Drive, Crested Butte, Colorado, US (38.815, -106.885)",38.8151439,-106.8845287,2023-04-12,8:30 AM,eBird - Traveling Count,68,1,5.7,,3,,,,
S133524124,Mountain Bluebird,Sialia currucoides,27553,2,US-CO,Gunnison,L23550544,"18 Belleview Drive, Crested Butte, Colorado, US (38.907, -106.969)",38.9068582,-106.9692995,2023-04-12,11:48 AM,eBird - Stationary Count,9,1,,,3,,,,
S133556252,American Robin,Turdus migratorius,27969,1,US-CO,Fremont,L111034,Fremont,38.47143,-105.47575,2023-04-12,4:34 PM,eBird - Traveling Count,70,1,86.29,,3,,,,
S133564472,American Robin,Turdus migratorius,27969,3,US-CO,Fremont,L444747,MacKenzie Ave. bridge,38.4223606,-105.1786637,2023-04-12,6:57 PM,eBird - Traveling Count,20,1,0.47,,2,,,With mady,
S133521583,American Robin,Turdus migratorius,27969,7,US-CO,Gunnison,L23550026,"15 Paradise Road, Crested Butte, Colorado, US (38.906, -106.972)",38.9092238,-106.9710894,2023-04-12,10:08 AM,eBird - Traveling Count,61,1,0.2,,3,,,,
S133529908,American Robin,Turdus migratorius,27969,5,US-CO,Gunnison,L23550026,"15 Paradise Road, Crested Butte, Colorado, US (38.906, -106.972)",38.9092238,-106.9710894,2023-04-12,12:01 PM,eBird - Traveling Count,60,1,0.72,,3,,,,
S133511652,American Robin,Turdus migratorius,27969,10,US-CO,Gunnison,L23548180,"172 Blackstock Drive, Crested Butte, Colorado, US (38.815, -106.885)",38.8151439,-106.8845287,2023-04-12,8:30 AM,eBird - Traveling Count,68,1,5.7,,3,,,,
S133565547,House Sparrow,Passer domesticus,30886,1,US-CO,Fremont,L23558184,"3370 Grandview Avenue, Cañon City, Colorado, US (38.44, -105.174)",38.4395452,-105.1739143,2023-04-12,7:38 PM,eBird - Stationary Count,7,1,,,3,,,,
S133521583,House Sparrow,Passer domesticus,30886,10,US-CO,Gunnison,L23550026,"15 Paradise Road, Crested Butte, Colorado, US (38.906, -106.972)",38.9092238,-106.9710894,2023-04-12,10:08 AM,eBird - Traveling Count,61,1,0.2,,3,,,,
S133529908,House Sparrow,Passer domesticus,30886,5,US-CO,Gunnison,L23550026,"15 Paradise Road, Crested Butte, Colorado, US (38.906, -106.972)",38.9092238,-106.9710894,2023-04-12,12:01 PM,eBird - Traveling Count,60,1,0.72,,3,,,,
S133511652,House Sparrow,Passer domesticus,30886,50,US-CO,Gunnison,L23548180,"172 Blackstock Drive, Crested Butte, Colorado, US (38.815, -106.885)",38.8151439,-106.8845287,2023-04-12,8:30 AM,eBird - Traveling Count,68,1,5.7,,3,,,,
