taxon_sort,common_name,scientific_name,species_code,aba,world_lifer,US_lifer,media_lifer,freq_US,freq_MI,freq_IN,freq_KS,freq_CO4,freq_TX,freq_AZ,freq_CA,freq_UT,freq_NV,freq_ID,freq_ND,freq_MT,freq_CO6,freq_WA,midwest,colorado,texas,arizona,california,mountainwest,cascadia,freq_max,Column1,Column2,target,region,exotic,vagrant,comment,Sensitive
5866,Killdeer ,Charadrius vociferus,killde,1,,,,14.00%,21.81%,23.23%,28.77%,23.00%,16.00%,11.00%,13.00%,15.00%,11.00%,16.70%,34.57%,18.00%,14.00%,13.00%,28.77%,23.00%,16.00%,11.00%,13.00%,34.57%,13.00%,34.57%,FALSE,173.67%,0,,,,,
5870,Mountain Plover ,Charadrius montanus,mouplo,2,1,1,1,0.02%,0.00%,0.00%,0.02%,0.58%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.36%,0.32%,0.00%,0.02%,0.58%,0.00%,0.00%,0.00%,0.36%,0.00%,0.58%,FALSE,421.47%,1,colorado,,,,
5913,Northern Jacana ,Jacana spinosa,norjac,4,1,1,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.06%,0.00%,0.00%,0.00%,0.06%,FALSE,525.00%,0,"texas, arizona",,,rare,
5929,Upland Sandpiper ,Bartramia longicauda,uplsan,1,,,,0.00%,0.24%,0.07%,2.77%,0.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.02%,11.50%,2.00%,0.00%,0.00%,2.77%,0.00%,3.00%,0.00%,0.00%,11.50%,0.00%,11.50%,FALSE,466.13%,0,,,,,
5931,Whimbrel ,Numenius phaeopus,whimbr,1,,,,1.00%,0.01%,0.00%,0.07%,0.00%,3.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.07%,0.00%,3.00%,0.00%,2.00%,0.02%,0.00%,3.00%,FALSE,412.37%,0,,,,,
5941,Long-billed Curlew ,Numenius americanus,lobcur,1,1,1,1,0.46%,0.00%,0.00%,0.41%,1.02%,1.32%,0.22%,1.62%,2.85%,1.35%,2.27%,0.54%,5.65%,0.11%,0.18%,0.41%,1.02%,1.32%,0.22%,1.62%,5.65%,0.18%,5.65%,FALSE,379.50%,,,,,,
5968,Hudsonian Godwit ,Limosa haemastica,hudgod,1,,,1,0.00%,0.01%,0.16%,2.25%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.16%,0.00%,0.00%,0.00%,2.25%,0.00%,1.00%,0.00%,0.00%,0.16%,0.00%,2.25%,FALSE,461.40%,0,,,,,
5971,Marbled Godwit ,Limosa fedoa,margod,1,,,1,1.00%,0.04%,0.10%,1.67%,2.00%,2.00%,0.00%,2.00%,0.00%,0.00%,0.05%,10.88%,4.00%,0.00%,0.00%,1.67%,2.00%,2.00%,0.00%,2.00%,10.88%,0.00%,10.88%,FALSE,410.57%,0,,,,,
5976,Ruddy Turnstone ,Arenaria interpres,rudtur,1,,,,1.00%,0.00%,0.01%,0.04%,0.00%,4.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.37%,0.00%,0.00%,0.00%,0.04%,0.00%,4.00%,0.00%,0.00%,0.37%,0.00%,4.00%,FALSE,635.80%,0,,,,,
5979,Black Turnstone ,Arenaria melanocephala,blktur,1,1,1,1,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.17%,0.00%,0.00%,0.17%,FALSE,661.11%,1,california,,,"no common at this time of year, but possible",
5985,Red Knot ,Calidris canutus,redkno,1,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,FALSE,580.49%,0,,,,,
5993,Surfbird ,Calidris virgata,surfbi,1,1,1,1,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.07%,FALSE,700.00%,0,,,,,
5996,Ruff ,Calidris pugnax,ruff,3,,,,0.00%,0.12%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,FALSE,700.00%,0,,,,,
6000,Sharp-tailed Sandpiper ,Calidris acuminata,shtsan,3,1,1,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.02%,FALSE,700.00%,0,,,,"west coast, rare",
6001,Stilt Sandpiper ,Calidris himantopus,stisan,1,,,,0.00%,0.00%,0.14%,0.91%,0.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.49%,0.00%,0.00%,0.00%,0.91%,0.00%,3.00%,0.00%,0.00%,0.49%,0.00%,3.00%,FALSE,478.24%,0,,,,,
6007,Sanderling ,Calidris alba,sander,1,,,,1.00%,0.05%,0.01%,0.26%,0.00%,4.00%,0.00%,1.00%,0.00%,0.00%,0.01%,0.56%,0.00%,0.00%,0.00%,0.26%,0.00%,4.00%,0.00%,1.00%,0.56%,0.00%,4.00%,FALSE,481.04%,0,,,,,
6010,Dunlin ,Calidris alpina,dunlin,1,,,,2.00%,0.81%,1.02%,0.56%,0.00%,3.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,1.02%,0.00%,3.00%,0.00%,1.00%,0.24%,0.00%,3.00%,FALSE,399.62%,0,,,,,
6023,Rock Sandpiper ,Calidris ptilocnemis,rocsan,2,1,1,1,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,TRUE,#DIV/0!,0,cascadia,,,,
